"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""Los Angeles Community College District Office""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles Harbor College""",California,At least 2 but less than 4 years,Public,75,11445,11683,13451,15873,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles Pierce College""",California,At least 2 but less than 4 years,Public,70,11309,11682,14295,15800,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles Southwest College""",California,At least 2 but less than 4 years,Public,78,5919,7370,6876,10385,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles Trade Technical College""",California,At least 2 but less than 4 years,Public,81,9742,10823,12780,13664,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles Valley College""",California,At least 2 but less than 4 years,Public,75,10205,10192,12912,13666,16345,,,,0,0,0,,,,,,,,,,,,,,,,
"""The Master's University and Seminary""",California,Four or more years,Private not-for-profit,62,23877,22846,23027,28600,32680,49322,49322,78,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles City College""",California,At least 2 but less than 4 years,Public,83,9397,9710,12138,12992,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles County College of Nursing and Allied Health""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles Mission College""",California,At least 2 but less than 4 years,Public,77,11101,10799,13629,15613,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Medanos College""",California,At least 2 but less than 4 years,Public,85,4422,5097,7242,8547,9243,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Rios Community College District Office""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Loyola Marymount University""",California,Four or more years,Private not-for-profit,100,34328,29367,33285,39350,52592,76227,76227,41,1300,1360,1460,29,31,32,,,,,,,,,,,,,
"""Lu Ross Academy""",California,Less than 2 years (below associate),Private for-profit,91,15025,15168,17510,0,19540,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lyle's College of Beauty""",California,Less than 2 years (below associate),Private for-profit,79,19478,18412,23757,23734,25173,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lyle's College of  Beauty""",California,Less than 2 years (below associate),Private for-profit,100,17824,17841,18791,20258,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lytles Redwood Empire Beauty College""",California,Less than 2 years (below associate),Private for-profit,83,22504,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""MTI College""",California,At least 2 but less than 4 years,Private for-profit,21,19606,22917,22588,25881,26926,,,94,0,0,0,,,,,,,,,,,,,,,,
"""College of Marin""",California,At least 2 but less than 4 years,Public,53,7925,9185,10337,13049,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Marymount California University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,57491,57491,,0,0,0,,,,,,,,,,,,,,,,
"""Mendocino College""",California,At least 2 but less than 4 years,Public,77,8207,8324,11367,15067,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Menlo College""",California,Four or more years,Private not-for-profit,100,21603,24072,19604,29781,35083,70641,70641,62,0,0,0,,,,,,,,,,,,,,,,
"""Merced College""",California,At least 2 but less than 4 years,Public,95,3928,4601,7030,9475,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Merritt College""",California,At least 2 but less than 4 years,Public,78,13947,12922,18123,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mills College at Northeastern University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""MiraCosta College""",California,Four or more years,Public,75,3825,4862,7114,7402,9100,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mission College""",California,At least 2 but less than 4 years,Public,70,5541,5563,9198,8437,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Modern Beauty Academy""",California,Less than 2 years (below associate),Private for-profit,53,24815,0,26442,30087,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Modesto Junior College""",California,Four or more years,Public,69,4463,4521,11392,13809,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Moler Barber College""",California,Less than 2 years (below associate),Private for-profit,87,23477,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Middlebury Institute of International Studies at Monterey""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Monterey Peninsula College""",California,At least 2 but less than 4 years,Public,79,8723,9643,10941,12625,15011,,,,0,0,0,,,,,,,,,,,,,,,,
"""Moorpark College""",California,At least 2 but less than 4 years,Public,82,330,462,3029,5096,2820,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mt San Antonio College""",California,At least 2 but less than 4 years,Public,79,2798,3204,5432,7094,3884,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mount Saint Mary's University""",California,Four or more years,Private not-for-profit,100,28062,28889,27953,30659,38531,69345,69345,76,0,0,0,,,,,,,,,,,,,,,,
"""Mt San Jacinto Community College District""",California,At least 2 but less than 4 years,Public,89,5632,5061,7810,9352,10071,,,,0,0,0,,,,,,,,,,,,,,,,
"""Musicians Institute""",California,Four or more years,Private for-profit,57,33833,36466,36514,38850,39963,,,78,0,0,0,,,,,,,,,,,,,,,,
"""Napa Valley College""",California,At least 2 but less than 4 years,Public,95,12130,11553,14871,16607,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""National Holistic Institute""",California,Less than 2 years (below associate),Private for-profit,80,29794,31248,31848,33261,34852,,,,0,0,0,,,,,,,,,,,,,,,,
"""National University""",California,Four or more years,Private not-for-profit,91,27466,0,0,29588,33129,,,,0,0,0,,,,,,,,,,,,,,,,
"""Naval Postgraduate School""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Newschool of Architecture and Design""",California,Four or more years,Private for-profit,64,0,46710,50126,51834,0,,,45,0,0,0,,,,,,,,,,,,,,,,
"""North Adrian's College of Beauty Inc""",California,Less than 2 years (below associate),Private for-profit,61,19122,18948,20971,25618,25618,,,,0,0,0,,,,,,,,,,,,,,,,
"""North Orange County Community College District""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""North-West College-Pomona""",California,Less than 2 years (below associate),Private for-profit,97,30785,30885,31041,31406,33679,,,,0,0,0,,,,,,,,,,,,,,,,
"""North-West College-West Covina""",California,At least 2 but less than 4 years,Private for-profit,93,28121,28506,28564,29414,30351,,,,0,0,0,,,,,,,,,,,,,,,,
"""North-West College-Van Nuys""",California,Less than 2 years (below associate),Private for-profit,91,30679,32158,32344,32599,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Francisco Bay University""",California,Four or more years,Private not-for-profit,100,0,0,0,0,0,22080,22080,69,0,0,0,,,,,,,,,,,,,,,,
"""Notre Dame de Namur University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Occidental College""",California,Four or more years,Private not-for-profit,79,15674,16201,25473,28007,52991,80636,80636,39,1370,1430,1510,31,32,34,,,,,,,,,,,,,
"""Ohlone College""",California,At least 2 but less than 4 years,Public,64,9817,9449,12899,14624,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Orange Coast College""",California,At least 2 but less than 4 years,Public,72,3567,4238,6907,8120,9656,22702,30262,,0,0,0,,,,,,,,,,,,,,,,
"""Otis College of Art and Design""",California,Four or more years,Private not-for-profit,98,40314,43306,44132,47426,50319,74064,74064,83,0,0,0,,,,,,,,,,,,,,,,
"""Oxnard College""",California,At least 2 but less than 4 years,Public,95,87,1989,1300,5005,949,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hope International University""",California,Four or more years,Private not-for-profit,100,23636,27086,32170,0,23503,52953,52953,32,0,0,0,,,,,,,,,,,,,,,,
"""Concorde Career College-San Diego""",California,At least 2 but less than 4 years,Private for-profit,86,24355,22998,25950,26656,26958,,,96,0,0,0,,,,,,,,,,,,,,,,
"""Palo Alto University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pacific Oaks College""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,40,0,0,0,,,,,,,,,,,,,,,,
"""Pacific School of Religion""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pacific States University""",California,Four or more years,Private not-for-profit,0,0,0,0,0,0,,,33,0,0,0,,,,,,,,,,,,,,,,
"""Pacific Union College""",California,Four or more years,Private not-for-profit,100,17770,19987,18283,20554,24891,47154,47154,48,990,1080,1200,18,20,23,,,,,,,,,,,,,
"""University of the Pacific""",California,Four or more years,Private not-for-profit,96,18447,17676,19749,23985,34948,72305,72305,93,1120,1255,1423,25,29,33,,,,,,,,,,,,,
"""Palo Verde College""",California,At least 2 but less than 4 years,Public,97,13310,12387,13257,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Palomar College""",California,At least 2 but less than 4 years,Public,80,4781,5894,7932,11044,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pasadena City College""",California,At least 2 but less than 4 years,Public,80,682,1799,4418,6423,4090,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pepperdine University""",California,Four or more years,Private not-for-profit,95,31203,30602,36550,40356,49924,85202,85202,49,1285,1390,1480,28,31,32,,,,,,,,,,,,,
"""Peralta Community College System Office""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pitzer College""",California,Four or more years,Private not-for-profit,39,25761,17138,21786,33456,54914,82832,82832,18,0,0,0,,,,,,,,,,,,,,,,
"""Platt College-San Diego""",California,Four or more years,Private for-profit,100,28859,29559,32083,33745,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Point Loma Nazarene University""",California,Four or more years,Private not-for-profit,100,26481,27660,30305,32035,37554,57104,57104,82,0,0,0,,,,,,,,,,,,,,,,
"""Pomona College""",California,Four or more years,Private not-for-profit,55,5903,6238,3409,20130,40785,81196,81196,7,1480,1520,1560,33,34,35,,,,,,,,,,,,,
"""Porterville College""",California,At least 2 but less than 4 years,Public,99,4547,5182,7358,10230,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Professional Institute of Beauty""",California,Less than 2 years (below associate),Private for-profit,64,14143,14550,15960,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Santa Ana College""",California,Four or more years,Public,97,652,589,3947,6672,5963,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pardee RAND Graduate School""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Shasta School of Cosmetology""",California,Less than 2 years (below associate),Private for-profit,55,9373,9373,13709,0,15868,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Redlands""",California,Four or more years,Private not-for-profit,94,20351,22827,21214,25344,36038,75856,75856,82,1113,1190,1278,25,28,30,,,,,,,,,,,,,
"""College of the Redwoods""",California,At least 2 but less than 4 years,Public,93,3354,4955,6600,9828,11060,13498,20890,,0,0,0,,,,,,,,,,,,,,,,
"""Salon Success Academy-Upland""",California,Less than 2 years (below associate),Private for-profit,71,16062,16647,18279,0,21270,,,,0,0,0,,,,,,,,,,,,,,,,
"""Salon Success Academy-Corona""",California,Less than 2 years (below associate),Private for-profit,65,16655,15879,18401,20786,20786,,,,0,0,0,,,,,,,,,,,,,,,,
"""Rio Hondo College""",California,Four or more years,Public,80,3736,4544,6981,7798,7882,,,,0,0,0,,,,,,,,,,,,,,,,
"""Riverside City College""",California,At least 2 but less than 4 years,Public,93,3823,4525,6421,7935,5987,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dongguk University Los Angeles""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sacramento City College""",California,At least 2 but less than 4 years,Public,89,3960,5083,7687,9758,10873,,,,0,0,0,,,,,,,,,,,,,,,,
"""Saddleback College""",California,At least 2 but less than 4 years,Public,64,2270,3417,6491,8154,6358,,,,0,0,0,,,,,,,,,,,,,,,,
"""Samuel Merritt University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Diego Community College District-District Office""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Diego City College""",California,At least 2 but less than 4 years,Public,77,5016,6157,8725,11048,3854,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Diego Mesa College""",California,Four or more years,Public,57,5476,7221,9083,10513,11047,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Diego Miramar College""",California,At least 2 but less than 4 years,Public,50,5670,5785,8390,9447,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Diego State University""",California,Four or more years,Public,98,7220,8513,13217,17578,22059,32110,43990,39,0,0,0,,,,155,133,125,91,121,92,131,,102,140,113141,,
"""University of San Diego""",California,Four or more years,Private not-for-profit,84,19659,15964,22611,27219,42844,75767,75767,53,0,0,0,,,,,,,,,,,,,,,,
"""San Francisco Art Institute""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Francisco Conservatory of Music""",California,Four or more years,Private not-for-profit,100,36958,28576,26012,37684,41102,79100,79100,42,0,0,0,,,,,,,,,,,,,,,,
"""San Francisco State University""",California,Four or more years,Public,78,9082,10527,13135,17976,22274,29125,41005,94,0,0,0,,,,,,,,,,,,,,,,
"""University of San Francisco""",California,Four or more years,Private not-for-profit,96,32074,32051,35167,38642,48742,77854,77854,71,1210,1310,1410,27,29,31,,,,,,,,,,,,,
"""San Joaquin College of Law""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Joaquin Delta College""",California,At least 2 but less than 4 years,Public,66,362,734,3157,5281,2465,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Joaquin Valley College-Visalia""",California,Four or more years,Private for-profit,96,25036,25131,27038,28099,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Joaquin Valley College-Bakersfield""",California,At least 2 but less than 4 years,Private for-profit,94,21656,23047,27419,27419,27419,,,,0,0,0,,,,,,,,,,,,,,,,
"""William Jessup University""",California,Four or more years,Private not-for-profit,99,27725,27796,32544,28560,34156,54602,54602,66,1020,1130,1230,,,,,,,,,,,,,,,,
"""San Jose-Evergreen Community College District""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Jose City College""",California,At least 2 but less than 4 years,Public,81,15994,16360,19016,19231,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Jose State University""",California,Four or more years,Public,65,10038,11259,14663,18994,23112,30850,42730,77,0,0,0,,,,,,,,,,,,,,,,
"""San Mateo County Community College District Office""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""College of San Mateo""",California,At least 2 but less than 4 years,Public,80,398,1440,4842,6775,7411,,,,0,0,0,,,,,,,,,,,,,,,,
"""Santa Barbara Business College-Bakersfield""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Santa Barbara City College""",California,At least 2 but less than 4 years,Public,66,9780,10388,12867,15906,16804,,,,0,0,0,,,,,,,,,,,,,,,,
"""Santa Clara University""",California,Four or more years,Private not-for-profit,75,29302,19515,24744,30188,54634,78849,78849,52,1290,1364,1480,29,31,33,,,,,,,,,,,,,
"""Santa Monica College""",California,Four or more years,Public,64,3390,4139,6369,7354,6598,,,,0,0,0,,,,,,,,,,,,,,,,
"""Santa Rosa Junior College""",California,At least 2 but less than 4 years,Public,79,6798,7923,10117,11691,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Saybrook University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Scripps College""",California,Four or more years,Private not-for-profit,100,14150,15047,18900,32962,50363,83330,83330,28,1390,1460,1510,32,33,34,,,,,,,,,,,,,
"""College of the Sequoias""",California,At least 2 but less than 4 years,Public,99,142,833,3086,4931,6934,,,,0,0,0,,,,,,,,,,,,,,,,
"""Shasta Bible College and Graduate School""",California,Four or more years,Private not-for-profit,100,0,11387,0,0,0,26560,26560,100,0,0,0,,,,,,,,,,,,,,,,
"""Shasta College""",California,Four or more years,Public,92,4183,5969,7752,9611,11529,11637,18717,,0,0,0,,,,,,,,,,,,,,,,
"""Sierra College""",California,At least 2 but less than 4 years,Public,82,2417,3726,6006,7968,5794,13844,21236,,0,0,0,,,,,,,,,,,,,,,,
"""Sierra College of Beauty""",California,Less than 2 years (below associate),Private for-profit,100,6862,9946,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Trinity Law School""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Simpson University""",California,Four or more years,Private not-for-profit,99,22475,19423,25580,23172,29693,53580,53580,,0,0,0,,,,,,,,,,,,,,,,
"""College of the Siskiyous""",California,At least 2 but less than 4 years,Public,62,6723,7412,9826,11838,0,14267,22667,,0,0,0,,,,,,,,,,,,,,,,
"""Charles A Jones Career and Education Center""",California,Less than 2 years (below associate),Public,80,33232,33467,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Skyline College""",California,Four or more years,Public,80,1,1841,2950,4643,1856,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Bernardino Valley College""",California,At least 2 but less than 4 years,Public,75,6907,6911,8203,9262,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Saint Mary's College of California""",California,Four or more years,Private not-for-profit,100,23731,21930,23463,22610,38193,74188,74188,88,0,0,0,,,,,,,,,,,,,,,,
"""Solano Community College""",California,Four or more years,Public,82,4579,5198,7597,8905,4725,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sonoma State University""",California,Four or more years,Public,81,9278,11078,14627,19415,22112,27352,39232,94,0,0,0,,,,,,,,,,,,,,,,
"""South Baylo University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""South Coast College""",California,At least 2 but less than 4 years,Private for-profit,75,29705,34003,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Vanguard University of Southern California""",California,Four or more years,Private not-for-profit,100,18883,19218,22090,25240,30300,53150,53150,75,0,0,0,,,,,,,,,,,,,,,,
"""Concorde Career College-Garden Grove""",California,At least 2 but less than 4 years,Private for-profit,89,18594,18265,22046,22895,22989,,,96,0,0,0,,,,,,,,,,,,,,,,
"""Southwestern College""",California,At least 2 but less than 4 years,Public,84,10757,10747,13956,16286,11770,,,,0,0,0,,,,,,,,,,,,,,,,
"""Starr King School for the Ministry""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""State Center Community College District""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Marshall B Ketchum University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southern California Institute of Architecture""",California,Four or more years,Private not-for-profit,30,3635,4860,0,19850,37666,,,60,1020,1100,1230,,,,,,,,,,,,,,,,
"""University of Southern California""",California,Four or more years,Private not-for-profit,76,12880,14852,19991,26959,52817,85064,85064,12,1450,1520,1550,32,34,35,30,37,20,20,26,24,32,30,31,46,4421,,
"""Southwestern Law School""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Taft College""",California,At least 2 but less than 4 years,Public,100,4682,5690,6800,9487,11113,12291,19155,,0,0,0,,,,,,,,,,,,,,,,
"""Claremont School of Theology""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Thomas Aquinas College""",California,Four or more years,Private not-for-profit,73,22749,18278,21650,23229,31199,40000,40000,85,1220,1310,1410,27,30,32,,,,,,,,,,,,,
"""Epic Bible College & Graduate School""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of California-System Administration Central Office""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""UEI College-Huntington Park""",California,Less than 2 years (below associate),Private for-profit,100,27824,28376,28565,32576,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Concorde Career College-San Bernardino""",California,At least 2 but less than 4 years,Private for-profit,93,22086,22750,23717,27223,27223,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Concorde Career College-North Hollywood""",California,At least 2 but less than 4 years,Private for-profit,93,18822,22299,22788,24109,24109,,,97,0,0,0,,,,,,,,,,,,,,,,
"""Ventura County Community College System Office""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ventura College""",California,At least 2 but less than 4 years,Public,92,3287,2391,2857,5482,5182,,,,0,0,0,,,,,,,,,,,,,,,,
"""The Colleges of Law at Ventura""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bridges Beauty College""",California,Less than 2 years (below associate),Private for-profit,20,14409,16159,17359,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Victor Valley College""",California,At least 2 but less than 4 years,Public,90,11618,12113,14082,15408,14258,,,,0,0,0,,,,,,,,,,,,,,,,
"""Berkeley City College""",California,At least 2 but less than 4 years,Public,70,8709,8599,10038,14438,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""West Valley Mission Community College District Office""",California,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Walden University""",Minnesota,Four or more years,Private for-profit,100,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Waynes College of Beauty""",California,Less than 2 years (below associate),Private for-profit,100,13177,0,14598,19805,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""West Hills College-Coalinga""",California,At least 2 but less than 4 years,Public,95,7064,6321,10823,12153,11639,12974,21704,,0,0,0,,,,,,,,,,,,,,,,
"""West Los Angeles College""",California,Four or more years,Public,65,9594,9704,13203,13799,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""West Valley College""",California,At least 2 but less than 4 years,Public,63,422,2401,4518,6193,5931,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carrington College-Sacramento""",California,At least 2 but less than 4 years,Private for-profit,90,36837,37845,37989,39857,40394,,,,0,0,0,,,,,,,,,,,,,,,,
"""Westminster Theological Seminary in California""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Westmont College""",California,Four or more years,Private not-for-profit,98,21622,28173,23958,28924,37690,68826,68826,82,1280,1375,1458,30,31,33,,,,,,,,,,,,,
"""Whittier College""",California,Four or more years,Private not-for-profit,100,20984,20239,23034,29194,31681,67487,67487,75,1140,1220,1340,24,26,30,,,,,,,,,,,,,
"""Woodbury University""",California,Four or more years,Private not-for-profit,96,27545,28099,26454,35185,36379,63249,63249,63,0,0,0,,,,,,,,,,,,,,,,
"""The Wright Institute""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Thomas Jefferson School of Law""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary""",California,Four or more years,Private not-for-profit,86,10600,11014,12686,12850,0,27600,27600,61,0,0,0,,,,,,,,,,,,,,,,
"""Yosemite Community College District Office""",California,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Yuba College""",California,At least 2 but less than 4 years,Public,91,3972,4942,5724,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""The Salon Professional Academy-Grand Junction""",Colorado,At least 2 but less than 4 years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Adams State University""",Colorado,Four or more years,Public,93,10833,10184,12214,17988,20686,23982,36054,99,910,1040,1130,15,22,26,,,,,,,,,,,,,
"""Aims Community College""",Colorado,At least 2 but less than 4 years,Public,97,9197,9933,11099,12476,14486,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arapahoe Community College""",Colorado,Four or more years,Public,43,7641,9291,11406,15816,16667,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bel-Rea Institute of Animal Technology""",Colorado,At least 2 but less than 4 years,Private for-profit,85,22661,22760,26036,26104,28719,,,50,0,0,0,,,,,,,,,,,,,,,,
"""University of Colorado Denver/Anschutz Medical Campus""",Colorado,Four or more years,Public,94,8996,9422,14095,19592,22389,31588,48844,75,1030,1140,1260,21,24,27,79,128,114,35,,79,122,,,131,8884,,
"""University of Colorado Colorado Springs""",Colorado,Four or more years,Public,85,14128,12915,15796,19196,20861,26989,39901,85,1015,1130,1215,21,24,28,,,,,,,,,,,,,
"""Spartan College of Aeronautics and Technology""",Colorado,At least 2 but less than 4 years,Private for-profit,71,25734,21556,22492,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Colorado Boulder""",Colorado,Four or more years,Public,68,12070,11443,16250,24879,29839,33466,60716,81,1160,1280,1390,26,29,32,46,46,62,,42,31,34,32,45,25,4254,,
"""Colorado Christian University""",Colorado,Four or more years,Private not-for-profit,100,17691,20834,20685,21648,25908,50206,50206,,0,0,0,,,,,,,,,,,,,,,,
"""Colorado College""",Colorado,Four or more years,Private not-for-profit,57,10762,9664,13311,30471,47237,83228,83228,16,1260,1370,1480,29,32,33,,,,,,,,,,,,,
"""Concorde Career College-Aurora""",Colorado,Four or more years,Private for-profit,90,16643,17304,18787,21599,21892,,,99,0,0,0,,,,,,,,,,,,,,,,
"""Colorado Mountain College""",Colorado,Four or more years,Public,79,4370,5247,7421,9486,13170,18806,25646,,0,0,0,,,,,,,,,,,,,,,,
"""Colorado Northwestern Community College""",Colorado,At least 2 but less than 4 years,Public,100,8566,10640,6021,15712,15927,20388,22892,,0,0,0,,,,,,,,,,,,,,,,
"""Colorado School of Mines""",Colorado,Four or more years,Public,98,18396,17041,23739,28947,32645,39529,61609,58,1330,1400,1488,30,31,33,,,,,,,,,,,,,
"""Colorado School of Trades""",Colorado,At least 2 but less than 4 years,Private for-profit,41,22519,0,0,0,0,,,78,0,0,0,,,,,,,,,,,,,,,,
