Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
Harford Community College,Maryland,,,,92,4,3,48,8278,6919,7969,8940,11795,12335,,,,,,,,,3888,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,4,17,7,0,65,2,4,29,,29,29,,11,20,34,43,56,4686,,,,,,,,,,,,,,,
Hood College,Maryland,6800,6800,,70,29,1,97,,,,,,,23624,12803,15283,17455,15965,24280,78,13,44500,62870,62870,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,14,9,0,57,6,4,61,,67,67,,47,69,66,67,100,34047,,,,,,,,,,,,,,,
Howard Community College,Maryland,,,,97,2,1,57,9789,8033,9088,10120,11628,12566,,,,,,,,,4088,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,13,30,14,0,26,5,13,23,0,32,32,,12,22,30,37,68,5848,,,,,,,,,,,,,,,
Aveda Institute-Maryland,Maryland,,,,83,17,0,45,,,,,,,14837,14742,14636,19593,20137,20137,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,2,15,9,0,73,0,2,75,,,,,,,,,81,4523,,,,,,,,,,,,,,,
Johns Hopkins University,Maryland,10670,7420,,12,71,15,58,,,,,,,24034,156,4342,6419,12838,39451,7,51,60480,80800,80800,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,16,7,10,0,37,24,16,94,67,95,95,80,95,92,94,95,67,54405,740,760,770,780,790,800,34,35,35,35,35,36,33,35,35
Lincoln College of Technology-Columbia,Maryland,,,,92,8,0,75,,,,,,,34203,33539,33988,34418,37255,38591,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,1,3,45,24,0,17,0,4,61,25,71,67,100,56,68,70,,92,4225,,,,,,,,,,,,,,,
Loyola University Maryland,Maryland,11750,6200,,36,64,0,94,,,,,,,33312,23406,25405,24427,28937,36362,83,16,53430,72600,72600,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,13,12,0,65,1,4,79,75,68,70,0,63,81,80,44,99,36621,600,650,690,580,620,670,26,30,33,25,31,34,24,27,30
University of Maryland Global Campus,Maryland,,,,37,59,3,42,16957,16805,,,,,,,,,,,,,7848,,,"Public, 4-year or above",Four or more years,Public,0,6,28,16,1,35,2,6,19,0,28,26,33,11,15,22,60,67,4213,,,,,,,,,,,,,,,
"University of Maryland, Baltimore",Maryland,8647,,,,,,64,,,,,,,,,,,,,,,,,,"Public, 4-year or above",Four or more years,Public,0,16,19,9,0,45,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Maryland-Baltimore County,Maryland,7750,5252,,90,5,5,78,17692,10419,14337,20416,25109,26420,,,,,,,81,23,12606,30795,47559,"Public, 4-year or above",Four or more years,Public,0,19,20,8,0,31,16,19,70,100,74,74,,64,70,71,68,94,8889,610,650,690,600,650,700,23,26,29,23,27,30,21,25,27
University of Maryland-College Park,Maryland,8860,6036,,72,26,2,49,16210,3907,10123,14312,21675,24937,,,,,,,45,23,11233,29637,57873,"Public, 4-year or above",Four or more years,Public,0,19,12,9,0,40,12,19,89,80,92,92,100,83,85,91,87,63,11232,670,710,740,690,750,780,30,33,34,31,34,35,28,31,34
Maryland Institute College of Art,Maryland,11580,3710,,28,56,17,96,,,,,,,43545,28124,32955,39513,43159,45894,80,9,53815,72255,72255,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,10,11,10,0,35,23,10,77,,79,79,,71,77,76,78,100,25767,490,622,700,477,564,662,17,20,23,15,19,23,16,19,24
University of Maryland Eastern Shore,Maryland,5928,4708,,79,18,3,97,12020,7855,10349,14355,17269,18578,,,,,,,82,11,8898,26554,37384,"Public, 4-year or above",Four or more years,Public,1,2,69,4,0,14,3,2,37,0,86,86,,38,33,32,20,100,12705,,,,,,,,,,,,,,,
Fortis Institute-Towson,Maryland,,,,100,0,0,76,,,,,,,24986,24735,24242,26362,28612,29015,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,85,3,0,8,0,0,29,,,,,,,,,82,4213,,,,,,,,,,,,,,,
Montgomery Beauty School,Maryland,,,,81,19,0,47,,,,,,,19960,19386,20655,22692,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,34,60,0,5,0,1,70,,,,,,,,,100,2842,,,,,,,,,,,,,,,
Montgomery College,Maryland,,,,96,3,0,47,8276,7193,7676,8993,11846,13647,,,,,,,,,5322,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,12,25,28,0,20,10,13,28,25,45,46,0,20,26,27,33,63,7344,,,,,,,,,,,,,,,
Morgan State University,Maryland,6964,5198,,47,51,1,93,13956,9099,10377,14245,17510,19573,,,,,,,85,15,8008,25735,36206,"Public, 4-year or above",Four or more years,Public,0,0,69,4,0,2,11,0,46,0,45,45,,43,42,67,57,99,12738,430,480,520,450,490,540,16,18,21,14,18,21,15,16,18
Mount St. Mary's University,Maryland,7290,7030,,56,40,4,100,,,,,,,24379,16102,15591,21503,25440,28416,80,13,45870,62940,62940,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,17,13,0,57,4,3,65,100,50,47,100,54,70,70,50,100,36155,520,590,640,520,560,610,19,21,25,19,22,24,18,19,23
Ner Israel Rabbinical College,Maryland,3600,3600,,50,38,13,72,,,,,,,12076,,919,3633,10650,,72,77,13700,25650,25650,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,0,0,0,94,6,0,43,,,,,,,43,,76,12374,,,,,,,,,,,,,,,
Hair Academy,Maryland,,,,81,19,0,29,,,,,,,18521,18416,19247,19841,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,92,4,0,4,0,0,60,,,,,,,,,100,2303,,,,,,,,,,,,,,,
Notre Dame of Maryland University,Maryland,7800,5150,,80,20,0,65,,,,,,,22675,19187,24837,27392,19882,23606,70,5,40730,60880,60880,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,25,9,0,42,1,5,60,0,79,79,,57,69,54,67,100,34267,,,,,,,,,,,,,,,
Prince George's Community College,Maryland,,,,97,3,0,68,14879,13871,14092,15428,17994,19511,,,,,,,,,3914,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,4,61,18,0,5,2,4,17,100,37,38,0,14,18,25,32,86,5509,,,,,,,,,,,,,,,
Maryland Beauty Academy of Essex,Maryland,,,,100,0,0,78,,,,,,,15515,15386,16680,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,2,37,15,0,46,0,2,76,,,,,,,,,83,4165,,,,,,,,,,,,,,,
Salisbury University,Maryland,7480,5510,,80,19,1,81,19756,10337,13682,17318,21035,22991,,,,,,,91,19,10396,27386,37862,"Public, 4-year or above",Four or more years,Public,0,3,14,6,0,69,1,3,69,29,53,52,67,62,69,71,71,97,6917,600,630,660,580,610,660,22,25,27,21,23,27,20,24,26
St. Mary's College of Maryland,Maryland,8167,6594,,87,12,0,88,20714,5213,9457,12754,19612,24818,,,,,,,77,18,15184,31795,47871,"Public, 4-year or above",Four or more years,Public,0,4,11,9,1,69,1,4,71,50,63,63,,59,50,77,100,96,10265,590,650,710,540,600,660,28,29,30,26,30,33,23,25,27
St. John's College,Maryland,6990,7280,,12,75,13,86,,,,,,,27643,11984,22440,19100,25393,34123,50,27,37260,52960,52960,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,2,6,0,66,13,4,77,,100,100,,33,75,81,71,89,23775,660,720,740,590,650,720,30,31,33,32,35,35,25,30,31
Towson University,Maryland,7822,6910,,89,8,1,68,14443,4880,8585,13978,19877,23353,,,,,,,79,19,10818,28720,44722,"Public, 4-year or above",Four or more years,Public,0,6,28,9,0,46,2,7,70,20,75,74,100,67,65,72,55,84,11415,510,580,630,500,560,600,19,22,25,19,22,27,17,19,24
Maryland University of Integrative Health,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,5,20,5,0,57,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
University System of Maryland,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,Four or more years,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Naval Academy,Maryland,0,0,,7,91,1,,,,,,,,,,,,,,11,85,,,,"Public, 4-year or above",Four or more years,Public,0,9,6,14,0,59,1,9,90,100,88,89,75,75,90,92,88,,,600,650,720,600,660,720,25,29,32,24,29,34,25,28,31
Stevenson University,Maryland,9078,5402,,72,27,0,89,,,,,,,27600,18283,23357,27138,29574,30648,84,18,38738,58518,58518,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,28,10,0,51,1,4,65,0,76,79,0,52,80,69,80,100,28258,,,,,,,,,,,,,,,
Washington College,Maryland,6754,7748,,44,53,3,95,,,,,,,31650,20047,26719,17320,12004,5898,75,12,52481,70375,70375,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,3,11,9,0,63,4,3,71,,87,86,100,73,59,74,56,98,35683,620,640,710,570,610,680,25,27,29,,,,,,
McDaniel College,Maryland,5682,7048,,71,27,1,98,,,,,,,23733,13604,18535,20967,24356,28808,82,13,46800,62684,62684,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,19,8,0,57,7,2,66,100,62,62,,52,54,71,,100,38848,,,,,,,,,,,,,,,
Wor-Wic Community College,Maryland,,,,94,4,0,79,8568,6017,7167,9540,10500,12547,,,,,,,,,3624,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,25,7,0,58,1,2,20,,22,22,,14,14,23,100,88,5348,,,,,,,,,,,,,,,
Hult International Business School,Massachusetts,17425,,,13,63,24,73,,,,,,,55251,45320,40338,48388,54000,61000,48,20,50825,75085,75085,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,0,1,0,1,78,0,64,,,,,,,,,74,20196,,,,,,,,,,,,,,,
American International College,Massachusetts,8130,7530,,48,47,5,96,,,,,,,18317,22733,25507,24677,24566,20993,89,14,40550,58750,58750,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,19,18,1,47,3,2,37,33,33,0,43,33,32,48,53,95,35061,,,,,,,,,,,,,,,
Amherst College,Massachusetts,9050,7700,,13,74,12,61,,,,,,,21367,7895,11119,16409,21178,50853,7,43,64100,83650,83650,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,14,11,16,0,38,11,14,92,33,93,93,,91,96,94,76,66,58693,700,740,760,720,770,790,32,34,35,33,35,35,29,32,34
Anna Maria College,Massachusetts,,,16640,54,33,13,91,,,,,,,23894,20635,20965,21825,27756,28080,70,8,41010,62900,62900,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,10,10,0,55,6,1,40,25,,,,17,33,53,,100,33503,,,,,,,,,,,,,,,
Assabet Valley Regional Technical School,Massachusetts,,,,100,0,0,64,34791,,35488,42668,,42983,,,,,,,47,100,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,2,4,43,11,0,37,0,4,81,,,,,,,,,84,4494,,,,,,,,,,,,,,,
Assumption University,Massachusetts,9216,5346,,72,27,1,99,,,,,,,28911,19271,19262,26337,29121,31485,82,11,47508,64870,64870,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,6,10,0,74,1,2,72,,72,71,100,57,68,75,25,100,32492,,,,,,,,,,,,,,,
Babson College,Massachusetts,12292,6736,,14,59,24,66,,,,,,,28400,18765,15344,20854,28556,55303,22,39,54944,77248,77248,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,11,4,12,0,31,35,11,93,,94,94,,92,87,92,96,70,30513,660,690,730,690,750,780,30,31,33,30,33,34,28,31,32
Bancroft School of Massage Therapy,Massachusetts,,,,100,0,0,37,,,,,,,,,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,8,12,0,81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Baptist College,Massachusetts,4300,2700,,20,80,0,98,,,,,,,15837,12216,,14216,,,100,38,12600,26691,26691,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,7,12,0,79,0,2,25,,,,,100,0,17,,100,10854,,,,,,,,,,,,,,,
Bay Path University,Massachusetts,,,12799,65,35,0,85,,,,,,,18502,12460,14988,17214,26134,25585,76,23,35781,52280,52280,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,10,17,0,51,0,2,47,100,71,71,,21,27,56,100,97,27913,520,550,590,500,530,550,,,,,,,,,
Bay State College,Massachusetts,,,13500,80,10,10,57,,,,,,,43020,31767,,46128,,,48,48,29500,53342,53342,"Private for-profit, 4-year or above",Four or more years,Private for-profit,1,5,25,15,0,46,3,5,24,,33,100,0,16,23,32,0,100,10243,,,,,,,,,,,,,,,
Bentley University,Massachusetts,11320,7340,,41,44,14,76,,,,,,,44233,21131,25117,28129,36002,48742,58,20,56500,77770,77770,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,10,4,10,0,55,17,10,88,,92,93,50,84,83,88,87,84,30733,618,660,690,640,680,730,28,30,32,26,30,34,26,28,30
Berklee College of Music,Massachusetts,,,19010,7,57,35,50,,,,,,,46873,43461,39569,43522,50296,54760,54,41,48330,70620,70620,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,6,12,0,40,30,6,69,0,53,53,,56,57,67,77,67,19300,,,,,,,,,,,,,,,
Berkshire Community College,Massachusetts,,,,99,1,0,98,8935,4168,4654,6317,11930,14378,,,,,,,,,5492,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,2,9,11,0,67,0,2,16,33,50,50,,9,11,19,,99,6802,,,,,,,,,,,,,,,
Empire Beauty School-Boston,Massachusetts,,,,100,0,0,59,,,,,,,19031,18344,17793,20746,21024,22804,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,2,39,17,0,5,0,2,42,,,,,,,,,83,4393,,,,,,,,,,,,,,,
Boston Architectural College,Massachusetts,,,,14,52,24,42,,,,,,,29531,26772,,,28211,34878,,,22144,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,5,11,0,39,24,5,23,,0,0,,0,,50,31,71,6613,,,,,,,,,,,,,,,
Boston Graduate School of Psychoanalysis Inc,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,10,5,5,0,28,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,Massachusetts,10120,6000,,21,71,8,44,,,,,,,30559,10988,7260,15264,24041,55461,17,35,64176,83746,83746,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,10,5,9,0,57,12,10,91,100,84,84,0,84,92,93,91,53,49992,705,730,760,730,760,780,33,34,35,34,35,35,30,32,34
Boston University,Massachusetts,11260,6140,,14,61,25,49,,,,,,,27829,10164,9536,14838,24109,48841,14,31,62360,82760,82760,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,15,4,9,0,34,29,15,89,100,92,92,100,88,84,89,89,53,51565,660,700,730,690,740,770,31,33,34,32,34,35,28,31,34
Brandeis University,Massachusetts,9746,7550,,22,57,21,63,,,,,,,45565,11116,15682,24124,36784,55660,39,25,62322,81914,81914,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,14,6,7,0,40,28,14,87,100,92,91,100,84,79,88,91,68,33733,680,720,750,690,750,780,31,33,34,32,34,35,28,31,34
Bridgewater State University,Massachusetts,9488,4674,,93,7,0,71,17225,12275,13478,16847,19505,22496,,,,,,,88,20,11051,29313,35453,"Public, 4-year or above",Four or more years,Public,0,2,10,9,0,71,1,2,56,50,55,52,100,48,51,59,75,94,8616,520,560,610,510,550,600,19,22,25,,,,,,
Bristol Community College,Massachusetts,,,,92,3,5,56,6204,4866,5980,6569,10000,11649,,,,,,,,,5280,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,11,13,0,58,0,2,22,100,26,29,0,11,14,29,,84,5620,,,,,,,,,,,,,,,
Signature Healthcare Brockton Hospital School of Nursing,Massachusetts,,,,100,0,0,56,,,,,,,24120,20714,,24562,27084,,9,100,,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,1,19,4,0,63,0,1,0,,,,,,,0,,100,4964,,,,,,,,,,,,,,,
Bunker Hill Community College,Massachusetts,,,,90,1,8,62,8857,7848,8566,10264,10828,14323,,,,,,,,,5280,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,9,22,30,0,16,5,9,17,0,22,22,0,10,12,16,32,75,6809,,,,,,,,,,,,,,,
Cambridge College,Massachusetts,,,,94,6,0,43,,,,,,,21178,22570,20820,18752,,,,,17190,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,20,32,0,35,5,3,0,,,,,,,0,0,100,7139,,,,,,,,,,,,,,,
Cape Cod Community College,Massachusetts,,,,99,1,0,87,9348,6812,7415,8868,12419,13525,,,,,,,,,5592,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,9,11,0,67,0,2,23,0,44,38,100,11,21,23,,99,4045,,,,,,,,,,,,,,,
Catherine Hinds Institute of Esthetics,Massachusetts,,,,87,13,0,48,,,,,,,19519,19720,18832,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,4,2,24,0,59,0,4,94,,,,,,,,,57,4753,,,,,,,,,,,,,,,
Laboure College of Healthcare,Massachusetts,,,,100,0,0,51,,,,,,,,,,,,,39,30,32813,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,42,13,0,34,2,3,100,,,,,,,100,,,,,,,,,,,,,,,,,,
Clark University,Massachusetts,6600,4564,,37,57,0,96,,,,,,,32053,14937,13255,23701,26118,38941,50,16,52352,65266,65266,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,4,8,0,47,29,5,76,,72,72,,75,64,80,74,97,29716,640,690,720,610,670,710,28,32,33,30,34,35,26,28,31
Conway School of Landscape Design,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,6,6,0,83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Curry College,Massachusetts,9600,8240,,72,26,2,83,,,,,,,31091,23339,24719,28472,31685,33362,88,12,44920,65250,65250,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,12,9,0,65,3,3,52,,65,70,33,49,27,56,70,100,29402,,,,,,,,,,,,,,,
Lincoln Technical Institute-Somerville,Massachusetts,,,,99,1,0,84,,,,,,,32804,31624,32475,34157,35290,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,15,19,0,5,0,1,59,,,,,,,,,94,4164,,,,,,,,,,,,,,,
Dean College,Massachusetts,11712,6830,,44,53,0,94,,,,,,,32219,25835,28600,31977,30040,34340,76,9,43400,64442,64442,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,12,12,0,61,3,1,45,50,100,100,,27,41,52,51,100,29972,,,,,,,,,,,,,,,
Diman Regional Technical Institute,Massachusetts,,,,82,18,0,93,21289,20379,27610,21999,,,,,,,,,100,100,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,2,7,27,16,0,48,0,7,88,,,,,,,,,100,6649,,,,,,,,,,,,,,,
National Aviation Academy of New England,Massachusetts,,,,83,17,0,52,,,,,,,32339,32213,35222,35254,37775,38319,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,2,28,25,0,40,0,2,73,,100,100,,77,56,73,100,85,6198,,,,,,,,,,,,,,,
Eastern Nazarene College,Massachusetts,4870,5830,,42,38,19,97,,,,,,,20283,16140,17953,16875,21116,25181,62,17,27990,42590,42590,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,16,17,0,45,15,2,49,,71,71,,26,48,53,63,100,20900,490,525,580,480,510,580,,,,,,,,,
Emerson College,Massachusetts,,,19528,14,69,17,76,,,,,,,51432,36327,37072,43618,47558,55749,43,19,53232,77370,77370,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,6,14,0,55,13,5,77,,85,87,0,74,80,76,77,83,24360,650,700,730,600,660,700,30,31,32,30,34,35,26,28,30
Emmanuel College,Massachusetts,,,16730,56,43,1,95,,,,,,,32273,25468,25470,27217,30729,33428,80,12,44908,65090,65090,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,5,6,12,0,64,1,5,66,,58,58,,71,52,68,100,100,29956,590,620,660,570,610,650,25,26,30,,,,,,
Endicott College,Massachusetts,11682,5266,,55,44,1,90,,,,,,,39496,27284,25558,29361,33271,40811,73,22,37776,58038,58038,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,2,6,0,81,1,2,78,50,70,67,100,42,73,80,85,98,16533,570,610,650,560,590,630,24,26,29,22,25,26,22,25,26
Rob Roy Academy-Fall River,Massachusetts,,,,100,0,0,66,,,,,,,20008,19577,22332,20499,24305,23182,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,3,25,9,0,59,0,3,50,,,,,,,,,81,6287,,,,,,,,,,,,,,,
Fisher College,Massachusetts,,,17340,48,40,12,79,,,,,,,26257,23556,26052,26194,27465,29751,74,8,34150,56690,56690,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,11,14,0,19,9,1,26,,50,50,,29,6,39,44,97,25406,,,,,,,,,,,,,,,
Fitchburg State University,Massachusetts,9566,3950,,90,10,0,62,15535,10943,13494,14979,19172,21603,,,,,,,86,18,10921,27737,33817,"Public, 4-year or above",Four or more years,Public,0,3,9,11,0,67,4,3,56,0,47,47,,48,48,59,67,89,7093,510,570,620,510,550,600,22,24,28,22,22,25,17,24,25
Framingham State University,Massachusetts,9020,4670,,92,8,0,59,17715,12242,12997,17245,22934,24724,,,,,,,87,12,11380,28120,34200,"Public, 4-year or above",Four or more years,Public,0,4,13,19,0,57,0,4,55,0,67,67,,42,43,61,50,89,8069,510,565,620,500,540,580,,,,,,,,,
Benjamin Franklin Cummings Institute of Technology,Massachusetts,,,,99,1,0,80,,,,,,,18198,17905,16522,15247,18804,20775,,,18228,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,5,26,27,1,22,0,6,44,0,50,54,33,34,33,67,100,84,11296,,,,,,,,,,,,,,,
Gordon College,Massachusetts,7710,4440,,37,54,8,96,,,,,,,24483,18328,16591,15940,21374,25022,92,25,27040,41390,41390,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,5,10,0,64,11,3,69,,60,60,,65,70,68,86,100,15181,558,620,663,528,570,650,23,27,29,25,29,32,21,25,27
Gordon-Conwell Theological Seminary,Massachusetts,4400,2757,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,15,13,8,0,40,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Community College,Massachusetts,,,,96,2,0,52,10620,8089,7041,11810,13706,14260,,,,,,,,,5642,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,4,6,11,0,70,0,4,32,,25,25,,0,31,34,,71,4179,,,,,,,,,,,,,,,
Hampshire College,Massachusetts,8520,5912,,27,68,5,100,,,,,,,24087,15172,12986,19033,30744,40137,69,16,54452,71374,71374,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,7,15,0,56,7,2,60,,70,70,,78,51,58,76,100,44835,,,,,,,,,,,,,,,
Harvard University,Massachusetts,12056,7446,,15,69,16,46,,,,,,,19491,5900,3002,4180,17037,52634,3,83,57261,83538,83538,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,14,6,9,0,33,25,15,98,100,98,98,,99,98,98,96,72,61801,730,760,780,760,790,800,34,35,36,35,35,36,32,34,35
Hebrew College,Massachusetts,,,,,,,0,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,0,1,0,97,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellenic College-Holy Cross Greek Orthodox School of Theology,Massachusetts,11550,4642,,0,75,25,100,,,,,,,30506,29312,,,,,58,18,22490,41282,41282,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,3,2,0,82,3,3,60,0,,,,,0,64,100,100,10326,,,,,,,,,,,,,,,
